Creating header
Reading header
Read from /home/vsand/OpenSpace/enlilTestData_256_256_256_32.vdf complete!
Data dimensionality: 1
Number of timesteps: 32
Dimensions: 256 x 256 x 256
Brick dimensions: 64 x 64 x 64
Number of bricks: 4 x 4 x 4
Structure: 0
Data size (bytes): 4
Out file name: /home/vsand/OpenSpace/tsp_test.tsp
Number of bricks in base octree level: 64
Number of levels in octree: 3
Number of bricks in octree: 73
Constructing octree for timestep 0
[0 1 3] 52 38
[1 1 3] 53 39
[2 1 3] 54 46
[3 1 3] 55 47
[0 2 3] 56 52
[1 2 3] 57 53
[2 2 3] 58 60
[3 2 3] 59 61
[0 3 3] 60 54
[1 3 3] 61 55
[2 3 3] 62 62
[3 3 3] 63 63
Constructing octree for timestep 4
[0 0 0] 0 0
[1 0 0] 1 1
[2 0 0] 2 8
[3 0 0] 3 9
[0 1 0] 4 2
[1 1 0] 5 3
[2 1 0] 6 10
[3 1 0] 7 11
[0 2 0] 8 16
[1 2 0] 9 17
[2 2 0] 10 24
[3 2 0] 11 25
[0 3 0] 12 18
[1 3 0] 13 19
[2 3 0] 14 26
[3 3 0] 15 27
[0 0 1] 16 4
[1 0 1] 17 5
[2 0 1] 18 12
[3 0 1] 19 13
[0 1 1] 20 6
[1 1 1] 21 7
[2 1 1] 22 14
[3 1 1] 23 15
[0 2 1] 24 20
[1 2 1] 25 21
[2 2 1] 26 28
[3 2 1] 27 29
[0 3 1] 28 22
[1 3 1] 29 23
[2 3 1] 30 30
[3 3 1] 31 31
[0 0 2] 32 32
[1 0 2] 33 33
[2 0 2] 34 40
[3 0 2] 35 41
[0 1 2] 36 34
[1 1 2] 37 35
[2 1 2] 38 42
[3 1 2] 39 43
[0 2 2] 40 48
[1 2 2] 41 49
[2 2 2] 42 56
[3 2 2] 43 57
[0 3 2] 44 50
[1 3 2] 45 51
[2 3 2] 46 58
[3 3 2] 47 59
[0 0 3] 48 36
[1 0 3] 49 37
[2 0 3] 50 44
[3 0 3] 51 45
[0 1 3] 52 38
[1 1 3] 53 39
[2 1 3] 54 46
[3 1 3] 55 47
[0 2 3] 56 52
[1 2 3] 57 53
[2 2 3] 58 60
[3 2 3] 59 61
[0 3 3] 60 54
[1 3 3] 61 55
[2 3 3] 62 62
[3 3 3] 63 63
Constructing octree for timestep 5
[0 0 0] 0 0
[1 0 0] 1 1
[2 0 0] 2 8
[3 0 0] 3 9
[0 1 0] 4 2
[1 1 0] 5 3
[2 1 0] 6 10
[3 1 0] 7 11
[0 2 0] 8 16
[1 2 0] 9 17
[2 2 0] 10 24
[3 2 0] 11 25
[0 3 0] 12 18
[1 3 0] 13 19
[2 3 0] 14 26
[3 3 0] 15 27
[0 0 1] 16 4
[1 0 1] 17 5
[2 0 1] 18 12
[3 0 1] 19 13
[0 1 1] 20 6
[1 1 1] 21 7
[2 1 1] 22 14
[3 1 1] 23 15
[0 2 1] 24 20
[1 2 1] 25 21
[2 2 1] 26 28
[3 2 1] 27 29
[0 3 1] 28 22
[1 3 1] 29 23
[2 3 1] 30 30
[3 3 1] 31 31
[0 0 2] 32 32
[1 0 2] 33 33
[2 0 2] 34 40
[3 0 2] 35 41
[0 1 2] 36 34
[1 1 2] 37 35
[2 1 2] 38 42
[3 1 2] 39 43
[0 2 2] 40 48
[1 2 2] 41 49
[2 2 2] 42 56
[3 2 2] 43 57
[0 3 2] 44 50
[1 3 2] 45 51
[2 3 2] 46 58
[3 3 2] 47 59
[0 0 3] 48 36
[1 0 3] 49 37
[2 0 3] 50 44
[3 0 3] 51 45
[0 1 3] 52 38
[1 1 3] 53 39
[2 1 3] 54 46
[3 1 3] 55 47
[0 2 3] 56 52
[1 2 3] 57 53
[2 2 3] 58 60
[3 2 3] 59 61
[0 3 3] 60 54
[1 3 3] 61 55
[2 3 3] 62 62
[3 3 3] 63 63
Constructing octree for timestep 6
[0 0 0] 0 0
[1 0 0] 1 1
[2 0 0] 2 8
[3 0 0] 3 9
[0 1 0] 4 2
[1 1 0] 5 3
[2 1 0] 6 10
[3 1 0] 7 11
[0 2 0] 8 16
[1 2 0] 9 17
[2 2 0] 10 24
[3 2 0] 11 25
[0 3 0] 12 18
[1 3 0] 13 19
[2 3 0] 14 26
[3 3 0] 15 27
[0 0 1] 16 4
[1 0 1] 17 5
[2 0 1] 18 12
[3 0 1] 19 13
[0 1 1] 20 6
[1 1 1] 21 7
[2 1 1] 22 14
[3 1 1] 23 15
[0 2 1] 24 20
[1 2 1] 25 21
[2 2 1] 26 28
[3 2 1] 27 29
[0 3 1] 28 22
[1 3 1] 29 23
[2 3 1] 30 30
[3 3 1] 31 31
[0 0 2] 32 32
[1 0 2] 33 33
[2 0 2] 34 40
[3 0 2] 35 41
[0 1 2] 36 34
[1 1 2] 37 35
[2 1 2] 38 42
[3 1 2] 39 43
[0 2 2] 40 48
[1 2 2] 41 49
[2 2 2] 42 56
[3 2 2] 43 57
[0 3 2] 44 50
[1 3 2] 45 51
[2 3 2] 46 58
[3 3 2] 47 59
[0 0 3] 48 36
[1 0 3] 49 37
[2 0 3] 50 44
[3 0 3] 51 45
[0 1 3] 52 38
[1 1 3] 53 39
[2 1 3] 54 46
[3 1 3] 55 47
[0 2 3] 56 52
[1 2 3] 57 53
[2 2 3] 58 60
[3 2 3] 59 61
[0 3 3] 60 54
[1 3 3] 61 55
[2 3 3] 62 62
[3 3 3] 63 63
Constructing octree for timestep 7
[0 0 0] 0 0
[1 0 0] 1 1
[2 0 0] 2 8
[3 0 0] 3 9
[0 1 0] 4 2
[1 1 0] 5 3
[2 1 0] 6 10
[3 1 0] 7 11
[0 2 0] 8 16
[1 2 0] 9 17
[2 2 0] 10 24
[3 2 0] 11 25
[0 3 0] 12 18
[1 3 0] 13 19
[2 3 0] 14 26
[3 3 0] 15 27
[0 0 1] 16 4
[1 0 1] 17 5
[2 0 1] 18 12
[3 0 1] 19 13
[0 1 1] 20 6
[1 1 1] 21 7
[2 1 1] 22 14
[3 1 1] 23 15
[0 2 1] 24 20
[1 2 1] 25 21
[2 2 1] 26 28
[3 2 1] 27 29
[0 3 1] 28 22
[1 3 1] 29 23
[2 3 1] 30 30
[3 3 1] 31 31
[0 0 2] 32 32
[1 0 2] 33 33
[2 0 2] 34 40
[3 0 2] 35 41
[0 1 2] 36 34
[1 1 2] 37 35
[2 1 2] 38 42
[3 1 2] 39 43
[0 2 2] 40 48
[1 2 2] 41 49
[2 2 2] 42 56
[3 2 2] 43 57
[0 3 2] 44 50
[1 3 2] 45 51
[2 3 2] 46 58
[3 3 2] 47 59
[0 0 3] 48 36
[1 0 3] 49 37
[2 0 3] 50 44
[3 0 3] 51 45
[0 1 3] 52 38
[1 1 3] 53 39
[2 1 3] 54 46
[3 1 3] 55 47
[0 2 3] 56 52
[1 2 3] 57 53
[2 2 3] 58 60
[3 2 3] 59 61
[0 3 3] 60 54
[1 3 3] 61 55
[2 3 3] 62 62
[3 3 3] 63 63
Constructing octree for timestep 8
